[INFO] [1790367105.590139175] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790367351.104499829] [route_follower]: track: 693/972 m, 279 m left, cte -0.01 m, v 0.54 m/s, grade +3.7%
[INFO] [1790367356.104845150] [route_follower]: track: 696/972 m, 276 m left, cte -0.00 m, v 0.54 m/s, grade +3.7%
[INFO] [1790367361.114588147] [route_follower]: track: 698/972 m, 273 m left, cte +0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790367366.122157859] [route_follower]: track: 701/972 m, 271 m left, cte +0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790367371.141822998] [route_follower]: track: 704/972 m, 268 m left, cte +0.01 m, v 0.54 m/s, grade +4.4%
[INFO] [1790367376.143039400] [route_follower]: track: 706/972 m, 265 m left, cte -0.03 m, v 0.54 m/s, grade +4.5%
[INFO] [1790367381.180512439] [route_follower]: track: 709/972 m, 263 m left, cte -0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790367386.185049587] [route_follower]: track: 712/972 m, 260 m left, cte +0.01 m, v 0.54 m/s, grade +4.4%
[INFO] [1790367391.198353151] [route_follower]: track: 714/972 m, 257 m left, cte +0.02 m, v 0.54 m/s, grade +3.8%
[INFO] [1790367396.195252481] [route_follower]: track: 717/972 m, 254 m left, cte +0.01 m, v 0.54 m/s, grade +3.8%
[INFO] [1790367401.204329923] [route_follower]: track: 720/972 m, 252 m left, cte +0.01 m, v 0.54 m/s, grade +4.0%
[INFO] [1790367406.222680315] [route_follower]: track: 722/972 m, 249 m left, cte +0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790367411.226589501] [route_follower]: track: 725/972 m, 246 m left, cte +0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790367416.233052918] [route_follower]: track: 728/972 m, 244 m left, cte +0.00 m, v 0.54 m/s, grade +4.2%
[INFO] [1790367421.276024927] [route_follower]: track: 731/972 m, 241 m left, cte +0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790367426.276812431] [route_follower]: track: 733/972 m, 238 m left, cte -0.00 m, v 0.54 m/s, grade +4.2%
[INFO] [1790367431.278984975] [route_follower]: track: 736/972 m, 236 m left, cte +0.00 m, v 0.54 m/s, grade +4.2%
[INFO] [1790367436.279085736] [route_follower]: track: 739/972 m, 233 m left, cte -0.01 m, v 0.54 m/s, grade +4.1%
[INFO] [1790367441.311329843] [route_follower]: track: 741/972 m, 230 m left, cte +0.04 m, v 0.54 m/s, grade +4.1%
[INFO] [1790367446.322924778] [route_follower]: track: 744/972 m, 227 m left, cte +0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790367451.327873432] [route_follower]: track: 747/972 m, 225 m left, cte -0.06 m, v 0.54 m/s, grade +4.4%
[INFO] [1790367456.331498933] [route_follower]: track: 749/972 m, 222 m left, cte +0.05 m, v 0.54 m/s, grade +4.4%
[INFO] [1790367461.329070429] [route_follower]: track: 752/972 m, 219 m left, cte +0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790367466.368865552] [route_follower]: track: 755/972 m, 217 m left, cte -0.10 m, v 0.54 m/s, grade +4.4%
[INFO] [1790367471.373109648] [route_follower]: track: 758/972 m, 214 m left, cte +0.17 m, v 0.54 m/s, grade +4.2%
[INFO] [1790367476.380756235] [route_follower]: track: 760/972 m, 211 m left, cte +0.07 m, v 0.54 m/s, grade +4.5%
[INFO] [1790367481.404698663] [route_follower]: track: 763/972 m, 209 m left, cte -0.03 m, v 0.54 m/s, grade +4.5%
[INFO] [1790367486.419204742] [route_follower]: track: 766/972 m, 206 m left, cte -0.02 m, v 0.54 m/s, grade +5.4%
[INFO] [1790367491.442079067] [route_follower]: track: 768/972 m, 203 m left, cte -0.00 m, v 0.54 m/s, grade +5.4%
[INFO] [1790367496.453099791] [route_follower]: track: 771/972 m, 201 m left, cte +0.01 m, v 0.54 m/s, grade +5.8%
[INFO] [1790367501.474640433] [route_follower]: track: 774/972 m, 198 m left, cte -0.01 m, v 0.54 m/s, grade +5.3%
[INFO] [1790367506.480950282] [route_follower]: track: 776/972 m, 195 m left, cte -0.02 m, v 0.54 m/s, grade +5.3%
[INFO] [1790367511.551792236] [route_follower]: track: 779/972 m, 192 m left, cte +0.02 m, v 0.54 m/s, grade +5.7%
[INFO] [1790367516.564185986] [route_follower]: track: 782/972 m, 190 m left, cte +0.09 m, v 0.54 m/s, grade +5.7%
[INFO] [1790367521.582191559] [route_follower]: track: 784/972 m, 187 m left, cte -0.07 m, v 0.54 m/s, grade +7.0%
[INFO] [1790367526.600128732] [route_follower]: track: 787/972 m, 184 m left, cte +0.00 m, v 0.54 m/s, grade +7.4%
[INFO] [1790367531.622915913] [route_follower]: track: 790/972 m, 182 m left, cte +0.01 m, v 0.54 m/s, grade +7.4%
[INFO] [1790367536.627465756] [route_follower]: track: 792/972 m, 179 m left, cte -0.13 m, v 0.54 m/s, grade +7.2%
[INFO] [1790367541.652271620] [route_follower]: track: 795/972 m, 176 m left, cte -0.02 m, v 0.54 m/s, grade +7.6%
[INFO] [1790367546.653554918] [route_follower]: track: 798/972 m, 174 m left, cte +0.02 m, v 0.54 m/s, grade +7.6%
[INFO] [1790367551.736834415] [route_follower]: track: 801/972 m, 171 m left, cte +0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790367556.751713387] [route_follower]: track: 803/972 m, 168 m left, cte +0.00 m, v 0.53 m/s, grade +8.8%
[INFO] [1790367561.766256526] [route_follower]: track: 806/972 m, 166 m left, cte +0.00 m, v 0.53 m/s, grade +8.8%
[INFO] [1790367566.762635766] [route_follower]: track: 808/972 m, 163 m left, cte -0.00 m, v 0.54 m/s, grade +7.0%
[INFO] [1790367571.777361870] [route_follower]: track: 811/972 m, 160 m left, cte +0.01 m, v 0.54 m/s, grade +7.0%
[INFO] [1790367576.787033091] [route_follower]: track: 814/972 m, 158 m left, cte +0.01 m, v 0.54 m/s, grade +7.7%
[INFO] [1790367581.797083135] [route_follower]: track: 816/972 m, 155 m left, cte +0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790367586.806829498] [route_follower]: track: 819/972 m, 152 m left, cte +0.03 m, v 0.53 m/s, grade +8.3%
[INFO] [1790367591.823550511] [route_follower]: track: 822/972 m, 150 m left, cte -0.03 m, v 0.53 m/s, grade +8.3%
[INFO] [1790367596.875754091] [route_follower]: track: 824/972 m, 147 m left, cte +0.05 m, v 0.54 m/s, grade +7.7%
[INFO] [1790367601.884864255] [route_follower]: track: 827/972 m, 144 m left, cte -0.07 m, v 0.54 m/s, grade +7.7%
[INFO] [1790367606.899215343] [route_follower]: track: 830/972 m, 142 m left, cte +0.11 m, v 0.51 m/s, grade +9.5%
[INFO] [1790367611.904429747] [route_follower]: track: 832/972 m, 139 m left, cte +0.07 m, v 0.50 m/s, grade +10.3%
[INFO] [1790367616.909079197] [route_follower]: track: 835/972 m, 137 m left, cte +0.03 m, v 0.50 m/s, grade +10.3%
[INFO] [1790367621.912527064] [route_follower]: track: 837/972 m, 134 m left, cte +0.06 m, v 0.48 m/s, grade +11.2%
[INFO] [1790367626.911844619] [route_follower]: track: 840/972 m, 132 m left, cte +0.04 m, v 0.48 m/s, grade +11.2%
[INFO] [1790367631.918540584] [route_follower]: track: 842/972 m, 129 m left, cte +0.02 m, v 0.53 m/s, grade +8.5%
[INFO] [1790367636.928217296] [route_follower]: track: 845/972 m, 127 m left, cte +0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790367641.979058640] [route_follower]: track: 847/972 m, 124 m left, cte -0.02 m, v 0.51 m/s, grade +9.5%
[INFO] [1790367646.979595582] [route_follower]: track: 850/972 m, 122 m left, cte +0.01 m, v 0.51 m/s, grade +9.5%
[INFO] [1790367651.988515087] [route_follower]: track: 852/972 m, 119 m left, cte -0.17 m, v 0.51 m/s, grade +9.9%
[INFO] [1790367656.997227131] [route_follower]: track: 855/972 m, 117 m left, cte -0.04 m, v 0.51 m/s, grade +9.9%
[INFO] [1790367662.021952573] [route_follower]: track: 857/972 m, 114 m left, cte -0.10 m, v 0.50 m/s, grade +10.3%
[INFO] [1790367667.024120659] [route_follower]: track: 860/972 m, 112 m left, cte -0.23 m, v 0.50 m/s, grade +10.3%
[INFO] [1790367672.040278911] [route_follower]: track: 862/972 m, 110 m left, cte -0.41 m, v 0.51 m/s, grade +9.7%
[INFO] [1790367677.053601200] [route_follower]: track: 864/972 m, 107 m left, cte -0.08 m, v 0.51 m/s, grade +9.7%
[INFO] [1790367682.053816086] [route_follower]: track: 867/972 m, 105 m left, cte -0.10 m, v 0.50 m/s, grade +10.5%
