[INFO] [1790365516.345995023] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790365517.950949226] [route_follower]: track: 572/972 m, 400 m left, cte +0.00 m, v 0.46 m/s, grade +12.6%
[INFO] [1790365522.951557503] [route_follower]: track: 574/972 m, 397 m left, cte -0.00 m, v 0.46 m/s, grade +12.6%
[INFO] [1790365527.950803884] [route_follower]: track: 576/972 m, 395 m left, cte +0.00 m, v 0.46 m/s, grade +12.4%
[INFO] [1790365532.951934775] [route_follower]: track: 579/972 m, 393 m left, cte +0.00 m, v 0.46 m/s, grade +12.4%
[INFO] [1790365537.952819643] [route_follower]: track: 581/972 m, 391 m left, cte -0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790365542.951542448] [route_follower]: track: 583/972 m, 388 m left, cte -0.05 m, v 0.46 m/s, grade +12.4%
[INFO] [1790365547.955073861] [route_follower]: track: 585/972 m, 386 m left, cte -0.02 m, v 0.45 m/s, grade +12.9%
[INFO] [1790365552.960478314] [route_follower]: track: 588/972 m, 384 m left, cte -0.00 m, v 0.45 m/s, grade +12.9%
[INFO] [1790365557.957418330] [route_follower]: track: 590/972 m, 382 m left, cte +0.00 m, v 0.44 m/s, grade +13.7%
[INFO] [1790365562.955821793] [route_follower]: track: 592/972 m, 379 m left, cte +0.00 m, v 0.44 m/s, grade +13.7%
[INFO] [1790365567.959171925] [route_follower]: track: 594/972 m, 377 m left, cte +0.01 m, v 0.44 m/s, grade +13.8%
[INFO] [1790365572.957677400] [route_follower]: track: 596/972 m, 375 m left, cte +0.03 m, v 0.44 m/s, grade +13.8%
[INFO] [1790365577.957427861] [route_follower]: track: 599/972 m, 373 m left, cte +0.01 m, v 0.44 m/s, grade +13.5%
[INFO] [1790365582.957666692] [route_follower]: track: 601/972 m, 371 m left, cte +0.00 m, v 0.44 m/s, grade +13.5%
[INFO] [1790365587.978429338] [route_follower]: track: 603/972 m, 369 m left, cte +0.00 m, v 0.44 m/s, grade +13.4%
[INFO] [1790365592.982266278] [route_follower]: track: 605/972 m, 366 m left, cte +0.00 m, v 0.44 m/s, grade +13.4%
[INFO] [1790365597.987173183] [route_follower]: track: 607/972 m, 364 m left, cte +0.00 m, v 0.44 m/s, grade +13.6%
[INFO] [1790365602.986623508] [route_follower]: track: 609/972 m, 362 m left, cte -0.05 m, v 0.44 m/s, grade +13.6%
[INFO] [1790365607.990166183] [route_follower]: track: 612/972 m, 360 m left, cte -0.04 m, v 0.44 m/s, grade +13.6%
[INFO] [1790365612.987677305] [route_follower]: track: 614/972 m, 358 m left, cte -0.01 m, v 0.45 m/s, grade +12.8%
[INFO] [1790365617.987140434] [route_follower]: track: 616/972 m, 355 m left, cte -0.12 m, v 0.45 m/s, grade +12.8%
[INFO] [1790365622.987833471] [route_follower]: track: 619/972 m, 353 m left, cte +0.43 m, v 0.54 m/s, grade +3.4%
[INFO] [1790365627.989747918] [route_follower]: track: 621/972 m, 350 m left, cte +0.18 m, v 0.54 m/s, grade +3.4%
[INFO] [1790365632.988151271] [route_follower]: track: 624/972 m, 348 m left, cte +0.12 m, v 0.54 m/s, grade +5.9%
[INFO] [1790365637.994334200] [route_follower]: track: 627/972 m, 345 m left, cte -0.04 m, v 0.54 m/s, grade +4.1%
[INFO] [1790365643.010266487] [route_follower]: track: 629/972 m, 342 m left, cte +0.21 m, v 0.54 m/s, grade +4.1%
[INFO] [1790365648.009871233] [route_follower]: track: 632/972 m, 339 m left, cte +0.05 m, v 0.54 m/s, grade +4.1%
[INFO] [1790365653.012206273] [route_follower]: track: 635/972 m, 337 m left, cte +0.03 m, v 0.54 m/s, grade +5.4%
[INFO] [1790365658.011685963] [route_follower]: track: 637/972 m, 334 m left, cte +0.02 m, v 0.54 m/s, grade +5.4%
[INFO] [1790365663.009347428] [route_follower]: track: 640/972 m, 331 m left, cte +0.07 m, v 0.54 m/s, grade +6.6%
