[INFO] [1790370293.406011715] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790370294.801456721] [route_follower]: align: 575/972 m, 397 m left, cte +2.28 m, v 0.06 m/s, grade +12.6%
[INFO] [1790370299.835892628] [route_follower]: track: 575/972 m, 396 m left, cte +1.74 m, v 0.46 m/s, grade +12.4%
[INFO] [1790370304.835717779] [route_follower]: track: 577/972 m, 395 m left, cte +0.16 m, v 0.46 m/s, grade +12.4%
[INFO] [1790370309.836642382] [route_follower]: track: 579/972 m, 393 m left, cte -0.41 m, v 0.46 m/s, grade +12.4%
[INFO] [1790370314.833572459] [route_follower]: track: 581/972 m, 391 m left, cte -0.12 m, v 0.46 m/s, grade +12.4%
[INFO] [1790370319.833607726] [route_follower]: track: 583/972 m, 389 m left, cte +0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790370324.835562169] [route_follower]: track: 585/972 m, 387 m left, cte -0.05 m, v 0.45 m/s, grade +12.9%
[INFO] [1790370329.839110294] [route_follower]: track: 587/972 m, 385 m left, cte -0.13 m, v 0.45 m/s, grade +12.9%
[INFO] [1790370334.836643898] [route_follower]: track: 589/972 m, 383 m left, cte -0.08 m, v 0.44 m/s, grade +13.7%
[INFO] [1790370339.837497938] [route_follower]: track: 591/972 m, 381 m left, cte -0.02 m, v 0.44 m/s, grade +13.7%
[INFO] [1790370344.837471128] [route_follower]: track: 592/972 m, 379 m left, cte +0.02 m, v 0.44 m/s, grade +13.7%
[INFO] [1790370349.836223849] [route_follower]: track: 595/972 m, 377 m left, cte -0.02 m, v 0.44 m/s, grade +13.8%
[INFO] [1790370354.835552706] [route_follower]: track: 597/972 m, 375 m left, cte -0.05 m, v 0.44 m/s, grade +13.8%
[INFO] [1790370359.833727127] [route_follower]: track: 599/972 m, 373 m left, cte -0.05 m, v 0.44 m/s, grade +13.5%
[INFO] [1790370364.850010535] [route_follower]: track: 601/972 m, 371 m left, cte -0.03 m, v 0.44 m/s, grade +13.5%
[INFO] [1790370369.849124767] [route_follower]: track: 603/972 m, 368 m left, cte -0.03 m, v 0.44 m/s, grade +13.4%
[INFO] [1790370374.848967412] [route_follower]: track: 605/972 m, 366 m left, cte -0.06 m, v 0.44 m/s, grade +13.4%
[INFO] [1790370379.849713628] [route_follower]: track: 607/972 m, 364 m left, cte -0.09 m, v 0.44 m/s, grade +13.6%
[INFO] [1790370384.851310517] [route_follower]: track: 609/972 m, 362 m left, cte -0.15 m, v 0.44 m/s, grade +13.6%
[INFO] [1790370389.851680786] [route_follower]: track: 611/972 m, 360 m left, cte -0.13 m, v 0.44 m/s, grade +13.6%
[INFO] [1790370394.851692789] [route_follower]: track: 613/972 m, 358 m left, cte -0.09 m, v 0.45 m/s, grade +12.8%
[INFO] [1790370399.850066937] [route_follower]: track: 616/972 m, 356 m left, cte -0.07 m, v 0.45 m/s, grade +12.8%
[INFO] [1790370404.849968863] [route_follower]: track: 618/972 m, 353 m left, cte +0.73 m, v 0.54 m/s, grade +3.4%
[INFO] [1790370409.850861996] [route_follower]: track: 621/972 m, 351 m left, cte +0.39 m, v 0.54 m/s, grade +3.4%
[INFO] [1790370414.853838334] [route_follower]: track: 623/972 m, 348 m left, cte +0.17 m, v 0.54 m/s, grade +5.9%
[INFO] [1790370419.851571394] [route_follower]: track: 626/972 m, 346 m left, cte +0.09 m, v 0.54 m/s, grade +5.9%
[INFO] [1790370424.881407024] [route_follower]: track: 629/972 m, 343 m left, cte +0.23 m, v 0.54 m/s, grade +4.1%
[INFO] [1790370429.882210890] [route_follower]: track: 631/972 m, 340 m left, cte +0.10 m, v 0.54 m/s, grade +4.1%
[INFO] [1790370434.882590826] [route_follower]: track: 634/972 m, 338 m left, cte +0.00 m, v 0.54 m/s, grade +5.4%
[INFO] [1790370439.881276691] [route_follower]: track: 636/972 m, 335 m left, cte +0.07 m, v 0.54 m/s, grade +5.4%
[INFO] [1790370444.880766411] [route_follower]: track: 639/972 m, 333 m left, cte +0.01 m, v 0.54 m/s, grade +5.4%
[INFO] [1790370449.882159756] [route_follower]: track: 641/972 m, 330 m left, cte +0.50 m, v 0.54 m/s, grade +6.6%
[INFO] [1790370454.882459141] [route_follower]: track: 644/972 m, 327 m left, cte +0.21 m, v 0.54 m/s, grade +6.4%
[INFO] [1790370459.883312480] [route_follower]: track: 647/972 m, 325 m left, cte +0.03 m, v 0.54 m/s, grade +6.4%
[INFO] [1790370464.880752407] [route_follower]: track: 649/972 m, 322 m left, cte +0.03 m, v 0.54 m/s, grade +5.7%
[INFO] [1790370469.883949191] [route_follower]: track: 652/972 m, 319 m left, cte +0.06 m, v 0.54 m/s, grade +4.4%
[INFO] [1790370474.881946699] [route_follower]: track: 655/972 m, 317 m left, cte -0.01 m, v 0.54 m/s, grade +4.4%
[INFO] [1790370479.883621385] [route_follower]: track: 658/972 m, 314 m left, cte +0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790370484.898424684] [route_follower]: track: 660/972 m, 311 m left, cte +0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790370489.899693035] [route_follower]: track: 663/972 m, 308 m left, cte +0.00 m, v 0.54 m/s, grade +4.3%
[INFO] [1790370494.898340096] [route_follower]: track: 666/972 m, 305 m left, cte -0.10 m, v 0.54 m/s, grade +3.2%
[INFO] [1790370499.899548844] [route_follower]: track: 669/972 m, 303 m left, cte -0.07 m, v 0.54 m/s, grade +3.2%
[INFO] [1790370504.898585510] [route_follower]: track: 672/972 m, 300 m left, cte -0.05 m, v 0.54 m/s, grade +4.3%
[INFO] [1790370509.900030934] [route_follower]: track: 675/972 m, 297 m left, cte -0.04 m, v 0.54 m/s, grade +4.3%
[INFO] [1790370514.900312055] [route_follower]: track: 678/972 m, 294 m left, cte +0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790370519.900160319] [route_follower]: track: 680/972 m, 291 m left, cte -0.25 m, v 0.54 m/s, grade +4.0%
[INFO] [1790370524.898942065] [route_follower]: track: 683/972 m, 288 m left, cte -0.16 m, v 0.54 m/s, grade +4.1%
[INFO] [1790370529.898877444] [route_follower]: track: 686/972 m, 285 m left, cte -0.03 m, v 0.54 m/s, grade +4.1%
[INFO] [1790370534.898411728] [route_follower]: track: 689/972 m, 283 m left, cte -0.07 m, v 0.54 m/s, grade +3.7%
[INFO] [1790370539.899666823] [route_follower]: track: 692/972 m, 280 m left, cte -0.04 m, v 0.54 m/s, grade +3.7%
[INFO] [1790370544.899522141] [route_follower]: track: 694/972 m, 277 m left, cte -0.05 m, v 0.54 m/s, grade +3.7%
[INFO] [1790370549.934919098] [route_follower]: track: 697/972 m, 274 m left, cte -0.05 m, v 0.54 m/s, grade +4.4%
[INFO] [1790370554.937252545] [route_follower]: track: 700/972 m, 272 m left, cte -0.00 m, v 0.54 m/s, grade +4.4%
[INFO] [1790370559.932711852] [route_follower]: track: 703/972 m, 269 m left, cte -0.06 m, v 0.54 m/s, grade +4.4%
[INFO] [1790370564.935887154] [route_follower]: track: 705/972 m, 266 m left, cte -0.07 m, v 0.54 m/s, grade +4.5%
[INFO] [1790370569.935551082] [route_follower]: track: 708/972 m, 263 m left, cte -0.12 m, v 0.54 m/s, grade +4.5%
[INFO] [1790370574.932910759] [route_follower]: track: 711/972 m, 261 m left, cte -0.05 m, v 0.54 m/s, grade +4.4%
[INFO] [1790370579.935540123] [route_follower]: track: 713/972 m, 258 m left, cte -0.08 m, v 0.54 m/s, grade +3.8%
[INFO] [1790370584.935677743] [route_follower]: track: 716/972 m, 255 m left, cte -0.06 m, v 0.54 m/s, grade +3.8%
[INFO] [1790370589.934387443] [route_follower]: track: 719/972 m, 253 m left, cte -0.06 m, v 0.54 m/s, grade +4.0%
[INFO] [1790370594.937497623] [route_follower]: track: 721/972 m, 250 m left, cte -0.06 m, v 0.54 m/s, grade +4.0%
[INFO] [1790370599.935545476] [route_follower]: track: 724/972 m, 247 m left, cte -0.07 m, v 0.54 m/s, grade +4.2%
[INFO] [1790370604.933035598] [route_follower]: track: 727/972 m, 245 m left, cte -0.09 m, v 0.54 m/s, grade +4.2%
[INFO] [1790370609.958604580] [route_follower]: track: 730/972 m, 242 m left, cte -0.09 m, v 0.54 m/s, grade +4.2%
[INFO] [1790370614.956631754] [route_follower]: track: 732/972 m, 239 m left, cte -0.09 m, v 0.54 m/s, grade +4.2%
[INFO] [1790370619.957986207] [route_follower]: track: 735/972 m, 236 m left, cte -0.09 m, v 0.54 m/s, grade +4.2%
[INFO] [1790370624.957820586] [route_follower]: track: 738/972 m, 234 m left, cte -0.09 m, v 0.54 m/s, grade +4.2%
[INFO] [1790370629.959597243] [route_follower]: track: 741/972 m, 231 m left, cte +0.03 m, v 0.54 m/s, grade +4.1%
[INFO] [1790370634.956604797] [route_follower]: track: 743/972 m, 228 m left, cte -0.04 m, v 0.54 m/s, grade +4.2%
[INFO] [1790370639.955511087] [route_follower]: track: 746/972 m, 225 m left, cte -0.10 m, v 0.54 m/s, grade +4.2%
[INFO] [1790370644.956385575] [route_follower]: track: 749/972 m, 223 m left, cte -0.01 m, v 0.54 m/s, grade +4.4%
[INFO] [1790370649.957759494] [route_follower]: track: 752/972 m, 220 m left, cte -0.04 m, v 0.54 m/s, grade +4.4%
[INFO] [1790370654.957740409] [route_follower]: track: 754/972 m, 217 m left, cte -0.12 m, v 0.54 m/s, grade +4.4%
[INFO] [1790370659.960002692] [route_follower]: track: 757/972 m, 214 m left, cte +0.06 m, v 0.54 m/s, grade +4.2%
[INFO] [1790370664.998859397] [route_follower]: track: 760/972 m, 211 m left, cte +0.02 m, v 0.54 m/s, grade +4.5%
[INFO] [1790370669.999169122] [route_follower]: track: 763/972 m, 209 m left, cte -0.11 m, v 0.54 m/s, grade +4.5%
[INFO] [1790370674.999208767] [route_follower]: track: 766/972 m, 206 m left, cte -0.15 m, v 0.54 m/s, grade +5.4%
[INFO] [1790370679.997918427] [route_follower]: track: 768/972 m, 203 m left, cte -0.13 m, v 0.54 m/s, grade +5.4%
[INFO] [1790370684.998925214] [route_follower]: track: 771/972 m, 200 m left, cte -0.09 m, v 0.54 m/s, grade +5.8%
[INFO] [1790370689.999607040] [route_follower]: track: 774/972 m, 198 m left, cte -0.10 m, v 0.54 m/s, grade +5.3%
[INFO] [1790370694.999335188] [route_follower]: track: 777/972 m, 195 m left, cte -0.12 m, v 0.54 m/s, grade +5.3%
[INFO] [1790370699.999122939] [route_follower]: track: 779/972 m, 192 m left, cte -0.07 m, v 0.54 m/s, grade +5.7%
[INFO] [1790370704.999225583] [route_follower]: track: 782/972 m, 190 m left, cte -0.03 m, v 0.54 m/s, grade +5.7%
[INFO] [1790370710.000479486] [route_follower]: track: 785/972 m, 187 m left, cte -0.32 m, v 0.54 m/s, grade +7.0%
[INFO] [1790370714.997065295] [route_follower]: track: 787/972 m, 184 m left, cte -0.09 m, v 0.54 m/s, grade +7.4%
[INFO] [1790370719.997068392] [route_follower]: track: 790/972 m, 182 m left, cte -0.02 m, v 0.54 m/s, grade +7.4%
[INFO] [1790370725.011639153] [route_follower]: track: 792/972 m, 179 m left, cte -0.09 m, v 0.54 m/s, grade +7.2%
[INFO] [1790370730.012475800] [route_follower]: track: 795/972 m, 176 m left, cte -0.06 m, v 0.54 m/s, grade +7.6%
[INFO] [1790370735.012578845] [route_follower]: track: 798/972 m, 174 m left, cte -0.06 m, v 0.54 m/s, grade +7.6%
[INFO] [1790370740.010045423] [route_follower]: track: 800/972 m, 171 m left, cte -0.08 m, v 0.53 m/s, grade +8.5%
[INFO] [1790370745.012611839] [route_follower]: track: 803/972 m, 168 m left, cte -0.06 m, v 0.53 m/s, grade +8.5%
[INFO] [1790370750.012936752] [route_follower]: track: 806/972 m, 166 m left, cte -0.07 m, v 0.53 m/s, grade +8.8%
[INFO] [1790370755.010238479] [route_follower]: track: 808/972 m, 163 m left, cte -0.07 m, v 0.54 m/s, grade +7.0%
[INFO] [1790370760.010845343] [route_follower]: track: 811/972 m, 161 m left, cte -0.07 m, v 0.54 m/s, grade +7.0%
[INFO] [1790370765.012846283] [route_follower]: track: 814/972 m, 158 m left, cte -0.07 m, v 0.54 m/s, grade +7.7%
[INFO] [1790370770.009718241] [route_follower]: track: 816/972 m, 155 m left, cte -0.07 m, v 0.54 m/s, grade +7.7%
[INFO] [1790370775.012064783] [route_follower]: track: 819/972 m, 152 m left, cte -0.05 m, v 0.53 m/s, grade +8.3%
