[INFO] [1790366313.617709951] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790366316.652783094] [route_follower]: track: 572/972 m, 399 m left, cte +0.04 m, v 0.46 m/s, grade +12.6%
[INFO] [1790366321.656283890] [route_follower]: track: 575/972 m, 397 m left, cte -0.03 m, v 0.46 m/s, grade +12.6%
[INFO] [1790366326.666098832] [route_follower]: track: 577/972 m, 394 m left, cte -0.06 m, v 0.46 m/s, grade +12.4%
[INFO] [1790366331.686325168] [route_follower]: track: 579/972 m, 392 m left, cte -0.05 m, v 0.46 m/s, grade +12.4%
[INFO] [1790366336.686148947] [route_follower]: track: 582/972 m, 390 m left, cte -0.06 m, v 0.46 m/s, grade +12.4%
[INFO] [1790366341.697516604] [route_follower]: track: 584/972 m, 388 m left, cte -0.05 m, v 0.46 m/s, grade +12.4%
[INFO] [1790366346.798156136] [route_follower]: track: 586/972 m, 385 m left, cte -0.05 m, v 0.45 m/s, grade +12.9%
[INFO] [1790366351.839569007] [route_follower]: track: 588/972 m, 383 m left, cte -0.04 m, v 0.45 m/s, grade +12.9%
[INFO] [1790366356.898211378] [route_follower]: track: 591/972 m, 381 m left, cte -0.03 m, v 0.44 m/s, grade +13.7%
[INFO] [1790366361.961662298] [route_follower]: track: 593/972 m, 379 m left, cte -0.05 m, v 0.44 m/s, grade +13.7%
[INFO] [1790366367.249265091] [route_follower]: track: 595/972 m, 377 m left, cte -0.03 m, v 0.44 m/s, grade +13.8%
[INFO] [1790366372.309662128] [route_follower]: track: 597/972 m, 375 m left, cte -0.04 m, v 0.44 m/s, grade +13.8%
[INFO] [1790366377.384763216] [route_follower]: track: 599/972 m, 372 m left, cte -0.05 m, v 0.44 m/s, grade +13.5%
[INFO] [1790366382.388743746] [route_follower]: track: 601/972 m, 370 m left, cte -0.05 m, v 0.44 m/s, grade +13.5%
[INFO] [1790366387.416069227] [route_follower]: track: 604/972 m, 368 m left, cte -0.05 m, v 0.44 m/s, grade +13.4%
[INFO] [1790366392.440056218] [route_follower]: track: 606/972 m, 366 m left, cte -0.04 m, v 0.44 m/s, grade +13.4%
[INFO] [1790366397.547064649] [route_follower]: track: 608/972 m, 364 m left, cte -0.06 m, v 0.44 m/s, grade +13.6%
[INFO] [1790366402.594041713] [route_follower]: track: 610/972 m, 361 m left, cte -0.10 m, v 0.44 m/s, grade +13.6%
[INFO] [1790366407.635692903] [route_follower]: track: 612/972 m, 359 m left, cte -0.08 m, v 0.45 m/s, grade +12.8%
[INFO] [1790366412.675144118] [route_follower]: track: 614/972 m, 357 m left, cte -0.06 m, v 0.45 m/s, grade +12.8%
[INFO] [1790366417.726289825] [route_follower]: track: 617/972 m, 355 m left, cte +0.21 m, v 0.54 m/s, grade +3.4%
[INFO] [1790366422.749812352] [route_follower]: track: 619/972 m, 352 m left, cte +0.38 m, v 0.54 m/s, grade +3.4%
[INFO] [1790366427.792259381] [route_follower]: track: 622/972 m, 349 m left, cte -0.22 m, v 0.54 m/s, grade +3.4%
[INFO] [1790366432.847341004] [route_follower]: track: 625/972 m, 347 m left, cte +0.12 m, v 0.54 m/s, grade +5.9%
[INFO] [1790366437.901192418] [route_follower]: track: 628/972 m, 344 m left, cte +0.11 m, v 0.54 m/s, grade +4.1%
[INFO] [1790366442.917078939] [route_follower]: track: 630/972 m, 341 m left, cte +0.02 m, v 0.54 m/s, grade +4.1%
[INFO] [1790366447.941812677] [route_follower]: track: 633/972 m, 338 m left, cte -0.10 m, v 0.54 m/s, grade +4.1%
[INFO] [1790366453.003325155] [route_follower]: track: 636/972 m, 336 m left, cte -0.01 m, v 0.54 m/s, grade +5.4%
[INFO] [1790366458.070530829] [route_follower]: track: 638/972 m, 333 m left, cte -0.08 m, v 0.54 m/s, grade +5.4%
[INFO] [1790366463.141720919] [route_follower]: track: 641/972 m, 330 m left, cte +0.03 m, v 0.54 m/s, grade +6.6%
[INFO] [1790366468.150170248] [route_follower]: track: 644/972 m, 328 m left, cte -0.02 m, v 0.54 m/s, grade +6.4%
[INFO] [1790366473.240642134] [route_follower]: track: 647/972 m, 325 m left, cte -0.04 m, v 0.54 m/s, grade +6.4%
[INFO] [1790366478.259824003] [route_follower]: track: 649/972 m, 322 m left, cte -0.03 m, v 0.54 m/s, grade +5.7%
[INFO] [1790366483.338609543] [route_follower]: track: 652/972 m, 320 m left, cte -0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790366488.344292750] [route_follower]: track: 655/972 m, 317 m left, cte -0.08 m, v 0.54 m/s, grade +4.4%
[INFO] [1790366493.411799371] [route_follower]: track: 657/972 m, 314 m left, cte -0.04 m, v 0.54 m/s, grade +4.3%
[INFO] [1790366498.416015234] [route_follower]: track: 660/972 m, 311 m left, cte -0.04 m, v 0.54 m/s, grade +4.3%
[INFO] [1790366503.455161125] [route_follower]: track: 663/972 m, 309 m left, cte -0.08 m, v 0.54 m/s, grade +4.3%
[INFO] [1790366508.481484578] [route_follower]: track: 665/972 m, 306 m left, cte -0.06 m, v 0.54 m/s, grade +3.2%
[INFO] [1790366513.523571599] [route_follower]: track: 668/972 m, 303 m left, cte -0.09 m, v 0.54 m/s, grade +3.2%
[INFO] [1790366518.550688717] [route_follower]: track: 671/972 m, 301 m left, cte -0.05 m, v 0.54 m/s, grade +4.3%
[INFO] [1790366523.575735175] [route_follower]: track: 673/972 m, 298 m left, cte -0.08 m, v 0.54 m/s, grade +4.3%
