[INFO] [1790367896.278101112] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790367897.716975026] [route_follower]: track: 572/972 m, 400 m left, cte +0.03 m, v 0.46 m/s, grade +12.6%
[INFO] [1790367902.774752217] [route_follower]: track: 574/972 m, 398 m left, cte -0.01 m, v 0.46 m/s, grade +12.6%
[INFO] [1790367907.781371929] [route_follower]: track: 576/972 m, 395 m left, cte -0.04 m, v 0.46 m/s, grade +12.4%
[INFO] [1790367912.780909318] [route_follower]: track: 578/972 m, 393 m left, cte -0.03 m, v 0.46 m/s, grade +12.4%
[INFO] [1790367917.784258619] [route_follower]: track: 581/972 m, 391 m left, cte -0.04 m, v 0.46 m/s, grade +12.4%
[INFO] [1790367922.797729678] [route_follower]: track: 583/972 m, 388 m left, cte -0.04 m, v 0.46 m/s, grade +12.4%
[INFO] [1790367927.800657886] [route_follower]: track: 585/972 m, 386 m left, cte -0.03 m, v 0.45 m/s, grade +12.9%
[INFO] [1790367932.803839220] [route_follower]: track: 588/972 m, 384 m left, cte -0.02 m, v 0.45 m/s, grade +12.9%
[INFO] [1790367937.825127818] [route_follower]: track: 590/972 m, 382 m left, cte -0.02 m, v 0.44 m/s, grade +13.7%
[INFO] [1790367942.837719290] [route_follower]: track: 592/972 m, 380 m left, cte -0.02 m, v 0.44 m/s, grade +13.7%
[INFO] [1790367947.891039404] [route_follower]: track: 594/972 m, 377 m left, cte -0.01 m, v 0.44 m/s, grade +13.8%
[INFO] [1790367952.895175748] [route_follower]: track: 596/972 m, 375 m left, cte -0.02 m, v 0.44 m/s, grade +13.8%
[INFO] [1790367957.900782311] [route_follower]: track: 598/972 m, 373 m left, cte -0.03 m, v 0.44 m/s, grade +13.5%
[INFO] [1790367962.903423658] [route_follower]: track: 601/972 m, 371 m left, cte -0.03 m, v 0.44 m/s, grade +13.5%
[INFO] [1790367967.914747993] [route_follower]: track: 603/972 m, 369 m left, cte -0.03 m, v 0.44 m/s, grade +13.4%
[INFO] [1790367972.928877143] [route_follower]: track: 605/972 m, 367 m left, cte -0.03 m, v 0.44 m/s, grade +13.4%
[INFO] [1790367977.939986233] [route_follower]: track: 607/972 m, 364 m left, cte -0.03 m, v 0.44 m/s, grade +13.6%
[INFO] [1790367982.942141724] [route_follower]: track: 609/972 m, 362 m left, cte -0.08 m, v 0.44 m/s, grade +13.6%
[INFO] [1790367987.941475300] [route_follower]: track: 611/972 m, 360 m left, cte -0.07 m, v 0.44 m/s, grade +13.6%
[INFO] [1790367992.986401289] [route_follower]: track: 614/972 m, 358 m left, cte -0.05 m, v 0.45 m/s, grade +12.8%
[INFO] [1790367997.997820744] [route_follower]: track: 616/972 m, 356 m left, cte -0.13 m, v 0.45 m/s, grade +12.8%
[INFO] [1790368003.002979343] [route_follower]: track: 618/972 m, 353 m left, cte +0.61 m, v 0.54 m/s, grade +3.4%
[INFO] [1790368008.021473827] [route_follower]: track: 621/972 m, 351 m left, cte +0.06 m, v 0.54 m/s, grade +3.4%
[INFO] [1790368013.030926677] [route_follower]: track: 624/972 m, 348 m left, cte +0.05 m, v 0.54 m/s, grade +5.9%
[INFO] [1790368018.039873733] [route_follower]: track: 626/972 m, 345 m left, cte -0.07 m, v 0.54 m/s, grade +4.1%
[INFO] [1790368023.051118829] [route_follower]: track: 629/972 m, 342 m left, cte +0.12 m, v 0.54 m/s, grade +4.1%
[INFO] [1790368028.062848579] [route_follower]: track: 632/972 m, 340 m left, cte -0.03 m, v 0.54 m/s, grade +4.1%
[INFO] [1790368033.076261138] [route_follower]: track: 635/972 m, 337 m left, cte -0.04 m, v 0.54 m/s, grade +5.4%
[INFO] [1790368038.108913976] [route_follower]: track: 637/972 m, 334 m left, cte -0.01 m, v 0.54 m/s, grade +5.4%
[INFO] [1790368043.113903556] [route_follower]: track: 640/972 m, 332 m left, cte -0.00 m, v 0.54 m/s, grade +6.6%
[INFO] [1790368048.117489673] [route_follower]: track: 643/972 m, 329 m left, cte +0.03 m, v 0.54 m/s, grade +6.6%
[INFO] [1790368053.121873213] [route_follower]: track: 645/972 m, 326 m left, cte -0.01 m, v 0.54 m/s, grade +6.4%
[INFO] [1790368058.122469196] [route_follower]: track: 648/972 m, 323 m left, cte -0.04 m, v 0.54 m/s, grade +5.7%
[INFO] [1790368063.133296024] [route_follower]: track: 651/972 m, 321 m left, cte -0.01 m, v 0.54 m/s, grade +5.7%
[INFO] [1790368068.132386031] [route_follower]: track: 653/972 m, 318 m left, cte -0.05 m, v 0.54 m/s, grade +4.4%
[INFO] [1790368073.135394820] [route_follower]: track: 656/972 m, 315 m left, cte -0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790368078.154597828] [route_follower]: track: 659/972 m, 313 m left, cte -0.03 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368083.206699266] [route_follower]: track: 662/972 m, 310 m left, cte -0.04 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368088.209080834] [route_follower]: track: 664/972 m, 307 m left, cte +0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368093.220068465] [route_follower]: track: 667/972 m, 305 m left, cte -0.08 m, v 0.54 m/s, grade +3.2%
[INFO] [1790368098.224444249] [route_follower]: track: 670/972 m, 302 m left, cte -0.01 m, v 0.54 m/s, grade +3.2%
