[INFO] [1790369506.049244894] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790369508.288114550] [route_follower]: track: 573/972 m, 399 m left, cte +0.33 m, v 0.46 m/s, grade +12.6%
[INFO] [1790369513.310083870] [route_follower]: track: 575/972 m, 397 m left, cte +0.11 m, v 0.46 m/s, grade +12.6%
[INFO] [1790369518.312661818] [route_follower]: track: 577/972 m, 394 m left, cte +0.07 m, v 0.46 m/s, grade +12.4%
[INFO] [1790369523.327151096] [route_follower]: track: 580/972 m, 392 m left, cte +0.04 m, v 0.46 m/s, grade +12.4%
[INFO] [1790369528.341160359] [route_follower]: track: 582/972 m, 389 m left, cte -0.00 m, v 0.46 m/s, grade +12.4%
[INFO] [1790369533.347700592] [route_follower]: track: 585/972 m, 387 m left, cte +0.01 m, v 0.45 m/s, grade +12.9%
[INFO] [1790369538.357092346] [route_follower]: track: 587/972 m, 384 m left, cte +0.03 m, v 0.45 m/s, grade +12.9%
[INFO] [1790369543.374087585] [route_follower]: track: 590/972 m, 382 m left, cte +0.04 m, v 0.44 m/s, grade +13.7%
[INFO] [1790369548.376196199] [route_follower]: track: 592/972 m, 380 m left, cte +0.04 m, v 0.44 m/s, grade +13.7%
[INFO] [1790369553.383753457] [route_follower]: track: 594/972 m, 377 m left, cte -0.01 m, v 0.44 m/s, grade +13.8%
[INFO] [1790369558.413489099] [route_follower]: track: 597/972 m, 375 m left, cte -0.03 m, v 0.44 m/s, grade +13.8%
[INFO] [1790369563.428453091] [route_follower]: track: 599/972 m, 373 m left, cte -0.06 m, v 0.44 m/s, grade +13.5%
[INFO] [1790369568.464652510] [route_follower]: track: 601/972 m, 371 m left, cte -0.08 m, v 0.44 m/s, grade +13.5%
[INFO] [1790369573.494747980] [route_follower]: track: 603/972 m, 369 m left, cte -0.05 m, v 0.44 m/s, grade +13.4%
[INFO] [1790369578.501265128] [route_follower]: track: 605/972 m, 367 m left, cte -0.02 m, v 0.44 m/s, grade +13.4%
