[INFO] [1790368687.265472354] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790368687.385113864] [route_follower]: track: 571/972 m, 401 m left, cte +0.50 m, v 0.02 m/s, grade +12.6%
[INFO] [1790368690.391394523] [route_follower]: track: 572/972 m, 400 m left, cte +0.52 m, v 0.46 m/s, grade +12.6%
[INFO] [1790368695.397258962] [route_follower]: track: 574/972 m, 397 m left, cte +0.15 m, v 0.46 m/s, grade +12.6%
[INFO] [1790368700.408309351] [route_follower]: track: 577/972 m, 395 m left, cte +0.01 m, v 0.46 m/s, grade +12.4%
[INFO] [1790368705.415561204] [route_follower]: track: 579/972 m, 392 m left, cte +0.00 m, v 0.46 m/s, grade +12.4%
[INFO] [1790368710.432304188] [route_follower]: track: 582/972 m, 390 m left, cte -0.07 m, v 0.46 m/s, grade +12.4%
[INFO] [1790368715.460857783] [route_follower]: track: 584/972 m, 387 m left, cte -0.18 m, v 0.45 m/s, grade +12.9%
[INFO] [1790368720.477557576] [route_follower]: track: 587/972 m, 385 m left, cte -0.21 m, v 0.45 m/s, grade +12.9%
[INFO] [1790368725.487842363] [route_follower]: track: 589/972 m, 382 m left, cte -0.07 m, v 0.44 m/s, grade +13.7%
[INFO] [1790368730.496953168] [route_follower]: track: 591/972 m, 380 m left, cte +0.02 m, v 0.44 m/s, grade +13.7%
[INFO] [1790368735.588170328] [route_follower]: track: 593/972 m, 378 m left, cte -0.03 m, v 0.44 m/s, grade +13.8%
[INFO] [1790368740.602068753] [route_follower]: track: 596/972 m, 376 m left, cte -0.02 m, v 0.44 m/s, grade +13.8%
[INFO] [1790368745.609710481] [route_follower]: track: 598/972 m, 374 m left, cte -0.03 m, v 0.44 m/s, grade +13.5%
[INFO] [1790368750.623106268] [route_follower]: track: 600/972 m, 372 m left, cte -0.01 m, v 0.44 m/s, grade +13.5%
[INFO] [1790368755.631552071] [route_follower]: track: 602/972 m, 370 m left, cte +0.00 m, v 0.44 m/s, grade +13.5%
[INFO] [1790368760.632556634] [route_follower]: track: 604/972 m, 368 m left, cte +0.01 m, v 0.44 m/s, grade +13.4%
[INFO] [1790368765.655507253] [route_follower]: track: 606/972 m, 366 m left, cte +0.01 m, v 0.44 m/s, grade +13.4%
[INFO] [1790368770.662794503] [route_follower]: track: 608/972 m, 364 m left, cte -0.02 m, v 0.44 m/s, grade +13.6%
[INFO] [1790368775.678546039] [route_follower]: track: 610/972 m, 362 m left, cte -0.07 m, v 0.44 m/s, grade +13.6%
[INFO] [1790368780.689004473] [route_follower]: track: 612/972 m, 360 m left, cte -0.06 m, v 0.45 m/s, grade +12.8%
[INFO] [1790368785.693288164] [route_follower]: track: 614/972 m, 357 m left, cte -0.05 m, v 0.45 m/s, grade +12.8%
[INFO] [1790368790.743053771] [route_follower]: track: 617/972 m, 355 m left, cte +0.04 m, v 0.54 m/s, grade +3.4%
[INFO] [1790368795.745903721] [route_follower]: track: 619/972 m, 352 m left, cte +0.76 m, v 0.54 m/s, grade +3.4%
[INFO] [1790368800.752156963] [route_follower]: track: 622/972 m, 350 m left, cte +0.15 m, v 0.54 m/s, grade +3.4%
[INFO] [1790368805.758237339] [route_follower]: track: 624/972 m, 347 m left, cte +0.18 m, v 0.54 m/s, grade +5.9%
[INFO] [1790368810.763528498] [route_follower]: track: 627/972 m, 345 m left, cte +0.12 m, v 0.54 m/s, grade +4.1%
[INFO] [1790368815.765991228] [route_follower]: track: 630/972 m, 342 m left, cte +0.20 m, v 0.54 m/s, grade +4.1%
[INFO] [1790368820.776318155] [route_follower]: track: 632/972 m, 339 m left, cte +0.04 m, v 0.54 m/s, grade +4.1%
[INFO] [1790368825.789423325] [route_follower]: track: 635/972 m, 336 m left, cte +0.05 m, v 0.54 m/s, grade +5.4%
[INFO] [1790368830.807727320] [route_follower]: track: 638/972 m, 334 m left, cte +0.06 m, v 0.54 m/s, grade +5.4%
[INFO] [1790368835.818381513] [route_follower]: track: 640/972 m, 331 m left, cte +0.28 m, v 0.54 m/s, grade +6.6%
[INFO] [1790368840.817379636] [route_follower]: track: 643/972 m, 328 m left, cte +0.17 m, v 0.54 m/s, grade +6.6%
[INFO] [1790368845.859254257] [route_follower]: track: 646/972 m, 326 m left, cte +0.04 m, v 0.54 m/s, grade +6.4%
[INFO] [1790368850.868996933] [route_follower]: track: 648/972 m, 323 m left, cte +0.04 m, v 0.54 m/s, grade +5.7%
[INFO] [1790368855.879335882] [route_follower]: track: 651/972 m, 321 m left, cte +0.02 m, v 0.54 m/s, grade +5.7%
[INFO] [1790368860.883497974] [route_follower]: track: 654/972 m, 318 m left, cte -0.05 m, v 0.54 m/s, grade +4.4%
[INFO] [1790368865.896670992] [route_follower]: track: 656/972 m, 315 m left, cte -0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368870.918678033] [route_follower]: track: 659/972 m, 313 m left, cte -0.05 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368875.929839331] [route_follower]: track: 661/972 m, 310 m left, cte -0.08 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368880.939740886] [route_follower]: track: 664/972 m, 307 m left, cte -0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368885.939512477] [route_follower]: track: 667/972 m, 305 m left, cte -0.13 m, v 0.54 m/s, grade +3.2%
[INFO] [1790368890.941832508] [route_follower]: track: 669/972 m, 302 m left, cte -0.10 m, v 0.54 m/s, grade +3.2%
[INFO] [1790368895.950858574] [route_follower]: track: 672/972 m, 300 m left, cte -0.15 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368900.951283545] [route_follower]: track: 674/972 m, 297 m left, cte -0.10 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368906.019498520] [route_follower]: track: 677/972 m, 295 m left, cte -0.07 m, v 0.54 m/s, grade +4.3%
[INFO] [1790368911.033755060] [route_follower]: track: 680/972 m, 292 m left, cte -0.18 m, v 0.54 m/s, grade +4.0%
[INFO] [1790368916.036265530] [route_follower]: track: 682/972 m, 289 m left, cte -0.12 m, v 0.54 m/s, grade +4.0%
[INFO] [1790368921.049024980] [route_follower]: track: 685/972 m, 287 m left, cte -0.14 m, v 0.54 m/s, grade +4.1%
[INFO] [1790368926.080917825] [route_follower]: track: 688/972 m, 284 m left, cte -0.15 m, v 0.54 m/s, grade +3.7%
[INFO] [1790368931.090498756] [route_follower]: track: 690/972 m, 281 m left, cte -0.11 m, v 0.54 m/s, grade +3.7%
[INFO] [1790368936.094507289] [route_follower]: track: 693/972 m, 278 m left, cte -0.05 m, v 0.54 m/s, grade +3.7%
[INFO] [1790368941.103740965] [route_follower]: track: 696/972 m, 276 m left, cte -0.10 m, v 0.54 m/s, grade +3.7%
[INFO] [1790368946.115534194] [route_follower]: track: 699/972 m, 273 m left, cte -0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790368951.134671078] [route_follower]: track: 702/972 m, 270 m left, cte -0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790368956.143106000] [route_follower]: track: 704/972 m, 267 m left, cte -0.06 m, v 0.54 m/s, grade +4.4%
[INFO] [1790368961.210497804] [route_follower]: track: 707/972 m, 264 m left, cte -0.14 m, v 0.54 m/s, grade +4.5%
[INFO] [1790368966.218187983] [route_follower]: track: 710/972 m, 262 m left, cte -0.09 m, v 0.54 m/s, grade +4.4%
[INFO] [1790368971.226944331] [route_follower]: track: 713/972 m, 259 m left, cte -0.10 m, v 0.54 m/s, grade +4.4%
[INFO] [1790368976.230913449] [route_follower]: track: 715/972 m, 256 m left, cte -0.11 m, v 0.54 m/s, grade +3.8%
[INFO] [1790368981.239480690] [route_follower]: track: 718/972 m, 253 m left, cte -0.04 m, v 0.54 m/s, grade +4.0%
[INFO] [1790368986.247696920] [route_follower]: track: 721/972 m, 251 m left, cte -0.09 m, v 0.54 m/s, grade +4.0%
[INFO] [1790368991.256155286] [route_follower]: track: 724/972 m, 248 m left, cte -0.11 m, v 0.54 m/s, grade +4.2%
[INFO] [1790368996.278250974] [route_follower]: track: 726/972 m, 245 m left, cte -0.07 m, v 0.54 m/s, grade +4.2%
[INFO] [1790369001.289428002] [route_follower]: track: 729/972 m, 242 m left, cte -0.08 m, v 0.54 m/s, grade +4.2%
[INFO] [1790369006.297720065] [route_follower]: track: 732/972 m, 240 m left, cte -0.10 m, v 0.54 m/s, grade +4.2%
[INFO] [1790369011.295260822] [route_follower]: track: 735/972 m, 237 m left, cte -0.11 m, v 0.54 m/s, grade +4.2%
[INFO] [1790369016.376166657] [route_follower]: track: 737/972 m, 234 m left, cte -0.08 m, v 0.54 m/s, grade +4.2%
[INFO] [1790369021.386779371] [route_follower]: track: 740/972 m, 231 m left, cte -0.08 m, v 0.54 m/s, grade +4.1%
[INFO] [1790369026.417723169] [route_follower]: track: 743/972 m, 229 m left, cte -0.07 m, v 0.54 m/s, grade +4.2%
[INFO] [1790369031.436534931] [route_follower]: track: 746/972 m, 226 m left, cte -0.10 m, v 0.54 m/s, grade +4.2%
[INFO] [1790369036.447589017] [route_follower]: track: 749/972 m, 223 m left, cte +0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790369041.461953640] [route_follower]: track: 751/972 m, 220 m left, cte +0.21 m, v 0.54 m/s, grade +4.4%
[INFO] [1790369046.496274841] [route_follower]: track: 754/972 m, 217 m left, cte +0.07 m, v 0.54 m/s, grade +4.4%
[INFO] [1790369051.515914151] [route_follower]: track: 757/972 m, 214 m left, cte +0.15 m, v 0.54 m/s, grade +4.2%
[INFO] [1790369056.545761714] [route_follower]: track: 760/972 m, 212 m left, cte +0.04 m, v 0.54 m/s, grade +4.5%
[INFO] [1790369061.566150015] [route_follower]: track: 763/972 m, 209 m left, cte -0.06 m, v 0.54 m/s, grade +4.5%
[INFO] [1790369066.564876186] [route_follower]: track: 766/972 m, 206 m left, cte -0.07 m, v 0.54 m/s, grade +5.4%
[INFO] [1790369071.575766644] [route_follower]: track: 768/972 m, 203 m left, cte -0.14 m, v 0.54 m/s, grade +5.4%
[INFO] [1790369076.640160811] [route_follower]: track: 771/972 m, 200 m left, cte +0.08 m, v 0.54 m/s, grade +5.8%
[INFO] [1790369081.650640365] [route_follower]: track: 774/972 m, 198 m left, cte -0.24 m, v 0.54 m/s, grade +5.3%
[INFO] [1790369086.669531756] [route_follower]: track: 776/972 m, 195 m left, cte -0.15 m, v 0.54 m/s, grade +5.3%
[INFO] [1790369091.670917147] [route_follower]: track: 779/972 m, 192 m left, cte -0.26 m, v 0.54 m/s, grade +5.7%
[INFO] [1790369096.683356363] [route_follower]: track: 782/972 m, 190 m left, cte -0.12 m, v 0.54 m/s, grade +5.7%
[INFO] [1790369101.691070096] [route_follower]: track: 784/972 m, 187 m left, cte -0.30 m, v 0.54 m/s, grade +7.0%
[INFO] [1790369106.697607894] [route_follower]: track: 787/972 m, 185 m left, cte -0.20 m, v 0.54 m/s, grade +7.4%
[INFO] [1790369111.701952780] [route_follower]: track: 789/972 m, 182 m left, cte -0.07 m, v 0.54 m/s, grade +7.4%
[INFO] [1790369116.727950570] [route_follower]: track: 792/972 m, 180 m left, cte -0.29 m, v 0.54 m/s, grade +7.2%
[INFO] [1790369121.733253160] [route_follower]: track: 794/972 m, 177 m left, cte -0.29 m, v 0.54 m/s, grade +7.2%
[INFO] [1790369126.814640281] [route_follower]: track: 797/972 m, 175 m left, cte -0.14 m, v 0.54 m/s, grade +7.6%
[INFO] [1790369131.823046810] [route_follower]: track: 799/972 m, 172 m left, cte -0.03 m, v 0.53 m/s, grade +8.5%
[INFO] [1790369136.860874006] [route_follower]: track: 802/972 m, 170 m left, cte -0.18 m, v 0.53 m/s, grade +8.5%
[INFO] [1790369141.872030555] [route_follower]: track: 804/972 m, 168 m left, cte -0.20 m, v 0.53 m/s, grade +8.8%
[INFO] [1790369146.884804561] [route_follower]: track: 806/972 m, 165 m left, cte -0.18 m, v 0.53 m/s, grade +8.8%
[INFO] [1790369151.898602597] [route_follower]: track: 809/972 m, 163 m left, cte -0.15 m, v 0.54 m/s, grade +7.0%
[INFO] [1790369156.916887676] [route_follower]: track: 811/972 m, 160 m left, cte -0.14 m, v 0.54 m/s, grade +7.0%
[INFO] [1790369161.929009424] [route_follower]: track: 814/972 m, 158 m left, cte -0.07 m, v 0.54 m/s, grade +7.7%
[INFO] [1790369166.938870873] [route_follower]: track: 816/972 m, 155 m left, cte -0.10 m, v 0.54 m/s, grade +7.7%
[INFO] [1790369172.013540309] [route_follower]: track: 819/972 m, 153 m left, cte -0.15 m, v 0.53 m/s, grade +8.3%
[INFO] [1790369177.025253577] [route_follower]: track: 821/972 m, 150 m left, cte -0.11 m, v 0.53 m/s, grade +8.3%
[INFO] [1790369182.022271149] [route_follower]: track: 824/972 m, 148 m left, cte -0.06 m, v 0.54 m/s, grade +7.7%
[INFO] [1790369187.038764953] [route_follower]: track: 827/972 m, 145 m left, cte -0.16 m, v 0.54 m/s, grade +7.7%
[INFO] [1790369192.045416986] [route_follower]: track: 829/972 m, 142 m left, cte -0.01 m, v 0.51 m/s, grade +9.5%
[INFO] [1790369197.055741157] [route_follower]: track: 832/972 m, 140 m left, cte -0.14 m, v 0.51 m/s, grade +9.5%
