[INFO] [1790325714.455602133] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790325717.626471629] [route_follower]: track: 572/972 m, 400 m left, cte +0.00 m, v 0.22 m/s, grade +12.6%
[INFO] [1790325722.627134736] [route_follower]: track: 574/972 m, 398 m left, cte -0.00 m, v 0.46 m/s, grade +12.6%
[INFO] [1790325727.625911459] [route_follower]: track: 576/972 m, 396 m left, cte +0.01 m, v 0.46 m/s, grade +12.4%
[INFO] [1790325732.627023133] [route_follower]: track: 578/972 m, 393 m left, cte -0.00 m, v 0.46 m/s, grade +12.4%
[INFO] [1790325737.627476989] [route_follower]: track: 581/972 m, 391 m left, cte -0.03 m, v 0.46 m/s, grade +12.4%
[INFO] [1790325742.626387212] [route_follower]: track: 583/972 m, 389 m left, cte -0.07 m, v 0.46 m/s, grade +12.4%
[INFO] [1790325747.626560093] [route_follower]: track: 585/972 m, 386 m left, cte -0.02 m, v 0.45 m/s, grade +12.9%
[INFO] [1790325752.627201929] [route_follower]: track: 587/972 m, 384 m left, cte -0.00 m, v 0.45 m/s, grade +12.9%
[INFO] [1790325757.627148778] [route_follower]: track: 590/972 m, 382 m left, cte +0.01 m, v 0.44 m/s, grade +13.7%
[INFO] [1790325762.627284359] [route_follower]: track: 592/972 m, 380 m left, cte +0.01 m, v 0.44 m/s, grade +13.7%
[INFO] [1790325767.627275200] [route_follower]: track: 594/972 m, 378 m left, cte +0.01 m, v 0.44 m/s, grade +13.8%
[INFO] [1790325772.625970932] [route_follower]: track: 596/972 m, 376 m left, cte +0.01 m, v 0.44 m/s, grade +13.8%
[INFO] [1790325777.626459342] [route_follower]: track: 598/972 m, 373 m left, cte -0.00 m, v 0.44 m/s, grade +13.5%
[INFO] [1790325782.627752846] [route_follower]: track: 600/972 m, 371 m left, cte +0.01 m, v 0.44 m/s, grade +13.5%
[INFO] [1790325787.626456984] [route_follower]: track: 603/972 m, 369 m left, cte +0.01 m, v 0.44 m/s, grade +13.4%
[INFO] [1790325792.627446129] [route_follower]: track: 605/972 m, 367 m left, cte +0.00 m, v 0.44 m/s, grade +13.4%
[INFO] [1790325797.626286040] [route_follower]: track: 607/972 m, 365 m left, cte +0.01 m, v 0.44 m/s, grade +13.4%
[INFO] [1790325802.627167405] [route_follower]: track: 609/972 m, 362 m left, cte -0.03 m, v 0.44 m/s, grade +13.6%
[INFO] [1790325807.629163100] [route_follower]: track: 611/972 m, 360 m left, cte -0.04 m, v 0.44 m/s, grade +13.6%
[INFO] [1790325812.626433079] [route_follower]: track: 613/972 m, 358 m left, cte -0.01 m, v 0.45 m/s, grade +12.8%
[INFO] [1790325817.626469405] [route_follower]: track: 616/972 m, 356 m left, cte -0.04 m, v 0.45 m/s, grade +12.8%
[INFO] [1790325822.627016685] [route_follower]: track: 618/972 m, 353 m left, cte +0.79 m, v 0.54 m/s, grade +3.4%
[INFO] [1790325827.626947844] [route_follower]: track: 621/972 m, 351 m left, cte +0.29 m, v 0.54 m/s, grade +3.4%
[INFO] [1790325832.628528705] [route_follower]: track: 623/972 m, 348 m left, cte +0.02 m, v 0.54 m/s, grade +5.9%
[INFO] [1790325837.626940326] [route_follower]: track: 626/972 m, 345 m left, cte -0.12 m, v 0.54 m/s, grade +5.9%
