[INFO] [1790324824.097999930] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790324827.440704086] [route_follower]: track: 572/972 m, 399 m left, cte +0.03 m, v 0.46 m/s, grade +12.6%
[INFO] [1790324832.437143884] [route_follower]: track: 575/972 m, 397 m left, cte -0.04 m, v 0.46 m/s, grade +12.6%
[INFO] [1790324837.440862678] [route_follower]: track: 577/972 m, 395 m left, cte -0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790324842.438489944] [route_follower]: track: 579/972 m, 392 m left, cte +0.01 m, v 0.46 m/s, grade +12.4%
[INFO] [1790324847.437449158] [route_follower]: track: 581/972 m, 390 m left, cte -0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790324852.438802354] [route_follower]: track: 584/972 m, 388 m left, cte -0.03 m, v 0.46 m/s, grade +12.4%
[INFO] [1790324857.438231806] [route_follower]: track: 586/972 m, 386 m left, cte -0.02 m, v 0.45 m/s, grade +12.9%
[INFO] [1790324862.437749894] [route_follower]: track: 588/972 m, 383 m left, cte -0.01 m, v 0.45 m/s, grade +12.9%
[INFO] [1790324867.438259103] [route_follower]: track: 590/972 m, 381 m left, cte -0.01 m, v 0.44 m/s, grade +13.7%
[INFO] [1790324872.437531311] [route_follower]: track: 593/972 m, 379 m left, cte -0.02 m, v 0.44 m/s, grade +13.7%
[INFO] [1790324877.437348628] [route_follower]: track: 595/972 m, 377 m left, cte -0.01 m, v 0.44 m/s, grade +13.8%
[INFO] [1790324882.437484330] [route_follower]: track: 597/972 m, 375 m left, cte -0.01 m, v 0.44 m/s, grade +13.8%
[INFO] [1790324887.437704930] [route_follower]: track: 599/972 m, 373 m left, cte -0.01 m, v 0.44 m/s, grade +13.5%
[INFO] [1790324892.438951797] [route_follower]: track: 601/972 m, 370 m left, cte -0.02 m, v 0.44 m/s, grade +13.5%
[INFO] [1790324897.437489493] [route_follower]: track: 603/972 m, 368 m left, cte -0.01 m, v 0.44 m/s, grade +13.4%
[INFO] [1790324902.437357885] [route_follower]: track: 606/972 m, 366 m left, cte -0.02 m, v 0.44 m/s, grade +13.4%
[INFO] [1790324907.438560440] [route_follower]: track: 608/972 m, 364 m left, cte -0.02 m, v 0.44 m/s, grade +13.6%
[INFO] [1790324912.437466093] [route_follower]: track: 610/972 m, 362 m left, cte -0.07 m, v 0.44 m/s, grade +13.6%
[INFO] [1790324917.437469027] [route_follower]: track: 612/972 m, 359 m left, cte -0.06 m, v 0.45 m/s, grade +12.8%
[INFO] [1790324922.438342226] [route_follower]: track: 614/972 m, 357 m left, cte -0.02 m, v 0.45 m/s, grade +12.8%
[INFO] [1790324927.441095156] [route_follower]: track: 617/972 m, 355 m left, cte +0.14 m, v 0.54 m/s, grade +3.4%
[INFO] [1790324932.437577333] [route_follower]: track: 619/972 m, 352 m left, cte +0.71 m, v 0.54 m/s, grade +3.4%
[INFO] [1790324937.436807002] [route_follower]: track: 622/972 m, 350 m left, cte +0.02 m, v 0.54 m/s, grade +3.4%
[INFO] [1790324942.437330568] [route_follower]: track: 624/972 m, 347 m left, cte +0.07 m, v 0.54 m/s, grade +5.9%
[INFO] [1790324947.437677153] [route_follower]: track: 627/972 m, 344 m left, cte +0.02 m, v 0.54 m/s, grade +4.1%
[INFO] [1790324952.437675609] [route_follower]: track: 630/972 m, 342 m left, cte +0.07 m, v 0.54 m/s, grade +4.1%
[INFO] [1790324957.439284301] [route_follower]: track: 633/972 m, 339 m left, cte -0.03 m, v 0.54 m/s, grade +4.1%
[INFO] [1790324962.440712056] [route_follower]: track: 635/972 m, 336 m left, cte +0.02 m, v 0.54 m/s, grade +5.4%
[INFO] [1790324967.437465881] [route_follower]: track: 638/972 m, 333 m left, cte -0.01 m, v 0.54 m/s, grade +5.4%
