[INFO] [1790328173.730849004] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790328418.829382635] [route_follower]: track: 696/972 m, 276 m left, cte +0.01 m, v 0.54 m/s, grade +3.7%
[INFO] [1790328423.829261747] [route_follower]: track: 699/972 m, 273 m left, cte +0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790328428.828700477] [route_follower]: track: 701/972 m, 270 m left, cte -0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790328433.828758153] [route_follower]: track: 704/972 m, 267 m left, cte -0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790328438.828689793] [route_follower]: track: 707/972 m, 265 m left, cte -0.08 m, v 0.54 m/s, grade +4.5%
[INFO] [1790328443.834721938] [route_follower]: track: 709/972 m, 262 m left, cte -0.08 m, v 0.54 m/s, grade +4.4%
[INFO] [1790328448.836084031] [route_follower]: track: 712/972 m, 259 m left, cte -0.04 m, v 0.54 m/s, grade +4.4%
[INFO] [1790328453.836961628] [route_follower]: track: 715/972 m, 257 m left, cte -0.03 m, v 0.54 m/s, grade +3.8%
[INFO] [1790328458.835300082] [route_follower]: track: 718/972 m, 254 m left, cte -0.02 m, v 0.54 m/s, grade +3.8%
[INFO] [1790328463.834052941] [route_follower]: track: 720/972 m, 251 m left, cte -0.02 m, v 0.54 m/s, grade +4.0%
[INFO] [1790328468.833430145] [route_follower]: track: 723/972 m, 249 m left, cte -0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790328473.837068249] [route_follower]: track: 726/972 m, 246 m left, cte -0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790328478.834290448] [route_follower]: track: 728/972 m, 243 m left, cte +0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790328483.833701797] [route_follower]: track: 731/972 m, 240 m left, cte -0.02 m, v 0.54 m/s, grade +4.2%
[INFO] [1790328488.836818596] [route_follower]: track: 734/972 m, 238 m left, cte -0.02 m, v 0.54 m/s, grade +4.2%
[INFO] [1790328493.835787999] [route_follower]: track: 737/972 m, 235 m left, cte -0.03 m, v 0.54 m/s, grade +4.2%
[INFO] [1790328498.835888856] [route_follower]: track: 739/972 m, 232 m left, cte +0.10 m, v 0.54 m/s, grade +4.1%
[INFO] [1790328503.833587445] [route_follower]: track: 742/972 m, 230 m left, cte +0.15 m, v 0.54 m/s, grade +4.1%
[INFO] [1790328508.833654378] [route_follower]: track: 745/972 m, 227 m left, cte +0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790328513.833778017] [route_follower]: track: 747/972 m, 224 m left, cte +0.00 m, v 0.54 m/s, grade +4.4%
[INFO] [1790328518.839955804] [route_follower]: track: 750/972 m, 221 m left, cte +0.04 m, v 0.54 m/s, grade +4.4%
[INFO] [1790328523.839692941] [route_follower]: track: 753/972 m, 219 m left, cte +0.09 m, v 0.54 m/s, grade +4.4%
[INFO] [1790328528.842492769] [route_follower]: track: 756/972 m, 216 m left, cte +0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790328533.840379079] [route_follower]: track: 758/972 m, 213 m left, cte +0.14 m, v 0.54 m/s, grade +4.2%
[INFO] [1790328538.839627864] [route_follower]: track: 761/972 m, 211 m left, cte +0.03 m, v 0.54 m/s, grade +4.5%
[INFO] [1790328543.840542340] [route_follower]: track: 764/972 m, 208 m left, cte +0.01 m, v 0.54 m/s, grade +4.5%
[INFO] [1790328548.840323379] [route_follower]: track: 766/972 m, 205 m left, cte -0.04 m, v 0.54 m/s, grade +5.4%
[INFO] [1790328553.840216307] [route_follower]: track: 769/972 m, 203 m left, cte +0.02 m, v 0.54 m/s, grade +5.8%
[INFO] [1790328558.841542953] [route_follower]: track: 772/972 m, 200 m left, cte +0.03 m, v 0.54 m/s, grade +5.8%
[INFO] [1790328563.839167494] [route_follower]: track: 774/972 m, 197 m left, cte -0.09 m, v 0.54 m/s, grade +5.3%
[INFO] [1790328568.842438772] [route_follower]: track: 777/972 m, 195 m left, cte -0.01 m, v 0.54 m/s, grade +5.3%
[INFO] [1790328573.840569388] [route_follower]: track: 780/972 m, 192 m left, cte +0.02 m, v 0.54 m/s, grade +5.7%
[INFO] [1790328578.839622958] [route_follower]: track: 782/972 m, 189 m left, cte +0.07 m, v 0.54 m/s, grade +7.0%
[INFO] [1790328583.840450001] [route_follower]: track: 785/972 m, 187 m left, cte -0.08 m, v 0.54 m/s, grade +7.0%
[INFO] [1790328588.840716106] [route_follower]: track: 788/972 m, 184 m left, cte +0.03 m, v 0.54 m/s, grade +7.4%
[INFO] [1790328593.842499415] [route_follower]: track: 790/972 m, 181 m left, cte +0.10 m, v 0.54 m/s, grade +7.2%
[INFO] [1790328598.845166835] [route_follower]: track: 793/972 m, 179 m left, cte -0.06 m, v 0.54 m/s, grade +7.2%
[INFO] [1790328603.845117461] [route_follower]: track: 796/972 m, 176 m left, cte -0.02 m, v 0.54 m/s, grade +7.6%
[INFO] [1790328608.845486228] [route_follower]: track: 798/972 m, 173 m left, cte -0.01 m, v 0.54 m/s, grade +7.6%
[INFO] [1790328613.845628612] [route_follower]: track: 801/972 m, 171 m left, cte -0.02 m, v 0.53 m/s, grade +8.5%
[INFO] [1790328618.844857990] [route_follower]: track: 804/972 m, 168 m left, cte +0.00 m, v 0.53 m/s, grade +8.8%
[INFO] [1790328623.911506120] [route_follower]: track: 806/972 m, 165 m left, cte -0.00 m, v 0.53 m/s, grade +8.8%
[INFO] [1790328628.911079591] [route_follower]: track: 809/972 m, 163 m left, cte -0.02 m, v 0.54 m/s, grade +7.0%
[INFO] [1790328633.912962446] [route_follower]: track: 811/972 m, 160 m left, cte -0.02 m, v 0.54 m/s, grade +7.0%
[INFO] [1790328638.911405185] [route_follower]: track: 814/972 m, 157 m left, cte +0.03 m, v 0.54 m/s, grade +7.7%
[INFO] [1790328643.912338146] [route_follower]: track: 817/972 m, 155 m left, cte +0.00 m, v 0.54 m/s, grade +7.7%
[INFO] [1790328648.912689671] [route_follower]: track: 819/972 m, 152 m left, cte +0.02 m, v 0.53 m/s, grade +8.3%
[INFO] [1790328653.912518689] [route_follower]: track: 822/972 m, 149 m left, cte +0.01 m, v 0.53 m/s, grade +8.3%
[INFO] [1790328658.912393163] [route_follower]: track: 825/972 m, 147 m left, cte +0.20 m, v 0.54 m/s, grade +7.7%
[INFO] [1790328663.911980320] [route_follower]: track: 827/972 m, 144 m left, cte -0.01 m, v 0.54 m/s, grade +7.7%
[INFO] [1790328668.912506020] [route_follower]: track: 830/972 m, 141 m left, cte +0.17 m, v 0.51 m/s, grade +9.5%
[INFO] [1790328673.912748200] [route_follower]: track: 833/972 m, 139 m left, cte +0.06 m, v 0.50 m/s, grade +10.3%
[INFO] [1790328678.910980837] [route_follower]: track: 835/972 m, 136 m left, cte +0.02 m, v 0.50 m/s, grade +10.3%
[INFO] [1790328683.911877189] [route_follower]: track: 838/972 m, 134 m left, cte +0.02 m, v 0.48 m/s, grade +11.2%
[INFO] [1790328688.912403650] [route_follower]: track: 840/972 m, 132 m left, cte +0.01 m, v 0.48 m/s, grade +11.2%
[INFO] [1790328693.914711870] [route_follower]: track: 843/972 m, 129 m left, cte +0.03 m, v 0.53 m/s, grade +8.5%
[INFO] [1790328698.912730607] [route_follower]: track: 845/972 m, 126 m left, cte +0.02 m, v 0.53 m/s, grade +8.5%
[INFO] [1790328703.910902440] [route_follower]: track: 848/972 m, 124 m left, cte -0.00 m, v 0.51 m/s, grade +9.5%
[INFO] [1790328708.910808723] [route_follower]: track: 850/972 m, 121 m left, cte +0.09 m, v 0.51 m/s, grade +9.5%
[INFO] [1790328713.912166197] [route_follower]: track: 853/972 m, 119 m left, cte -0.16 m, v 0.51 m/s, grade +9.9%
[INFO] [1790328718.912645870] [route_follower]: track: 855/972 m, 116 m left, cte -0.01 m, v 0.51 m/s, grade +9.9%
[INFO] [1790328723.913792751] [route_follower]: track: 858/972 m, 114 m left, cte -0.03 m, v 0.50 m/s, grade +10.3%
[INFO] [1790328728.913465427] [route_follower]: track: 860/972 m, 111 m left, cte +0.19 m, v 0.50 m/s, grade +10.3%
[INFO] [1790328733.912814740] [route_follower]: track: 863/972 m, 108 m left, cte -0.19 m, v 0.51 m/s, grade +9.7%
[INFO] [1790328738.911009285] [route_follower]: track: 866/972 m, 106 m left, cte +0.04 m, v 0.51 m/s, grade +9.7%
[INFO] [1790328743.912245533] [route_follower]: track: 868/972 m, 103 m left, cte -0.39 m, v 0.50 m/s, grade +10.5%
[INFO] [1790328748.911829393] [route_follower]: track: 871/972 m, 101 m left, cte -0.05 m, v 0.50 m/s, grade +10.5%
