[INFO] [1790327283.046256298] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790327283.568385741] [route_follower]: track: 571/972 m, 401 m left, cte +0.48 m, v 0.18 m/s, grade +12.6%
[INFO] [1790327288.567687394] [route_follower]: track: 573/972 m, 398 m left, cte +0.37 m, v 0.46 m/s, grade +12.6%
[INFO] [1790327293.567807326] [route_follower]: track: 575/972 m, 396 m left, cte +0.05 m, v 0.46 m/s, grade +12.4%
[INFO] [1790327298.569303128] [route_follower]: track: 578/972 m, 394 m left, cte -0.03 m, v 0.46 m/s, grade +12.4%
[INFO] [1790327303.567463149] [route_follower]: track: 580/972 m, 391 m left, cte -0.01 m, v 0.46 m/s, grade +12.4%
[INFO] [1790327308.568372856] [route_follower]: track: 583/972 m, 389 m left, cte -0.16 m, v 0.46 m/s, grade +12.4%
[INFO] [1790327313.568225359] [route_follower]: track: 585/972 m, 387 m left, cte -0.24 m, v 0.45 m/s, grade +12.9%
[INFO] [1790327318.568279779] [route_follower]: track: 587/972 m, 384 m left, cte -0.16 m, v 0.45 m/s, grade +12.9%
[INFO] [1790327323.568378521] [route_follower]: track: 590/972 m, 382 m left, cte -0.02 m, v 0.44 m/s, grade +13.7%
[INFO] [1790327328.568400089] [route_follower]: track: 592/972 m, 380 m left, cte +0.00 m, v 0.44 m/s, grade +13.7%
[INFO] [1790327333.568117810] [route_follower]: track: 594/972 m, 378 m left, cte -0.00 m, v 0.44 m/s, grade +13.8%
[INFO] [1790327338.568641426] [route_follower]: track: 596/972 m, 375 m left, cte -0.01 m, v 0.44 m/s, grade +13.8%
[INFO] [1790327343.568403439] [route_follower]: track: 598/972 m, 373 m left, cte -0.01 m, v 0.44 m/s, grade +13.5%
[INFO] [1790327348.567627107] [route_follower]: track: 600/972 m, 371 m left, cte +0.01 m, v 0.44 m/s, grade +13.5%
[INFO] [1790327353.568106861] [route_follower]: track: 603/972 m, 369 m left, cte +0.01 m, v 0.44 m/s, grade +13.4%
[INFO] [1790327358.567959644] [route_follower]: track: 605/972 m, 367 m left, cte +0.01 m, v 0.44 m/s, grade +13.4%
[INFO] [1790327363.568369518] [route_follower]: track: 607/972 m, 365 m left, cte +0.00 m, v 0.44 m/s, grade +13.4%
[INFO] [1790327368.568257867] [route_follower]: track: 609/972 m, 362 m left, cte -0.05 m, v 0.44 m/s, grade +13.6%
[INFO] [1790327373.568164561] [route_follower]: track: 611/972 m, 360 m left, cte -0.07 m, v 0.44 m/s, grade +13.6%
[INFO] [1790327378.568708425] [route_follower]: track: 613/972 m, 358 m left, cte -0.04 m, v 0.45 m/s, grade +12.8%
[INFO] [1790327383.570311818] [route_follower]: track: 616/972 m, 356 m left, cte -0.13 m, v 0.45 m/s, grade +12.8%
[INFO] [1790327388.568527363] [route_follower]: track: 618/972 m, 353 m left, cte +0.43 m, v 0.54 m/s, grade +3.4%
[INFO] [1790327393.568284427] [route_follower]: track: 621/972 m, 350 m left, cte +0.14 m, v 0.54 m/s, grade +3.4%
[INFO] [1790327398.567688251] [route_follower]: track: 624/972 m, 348 m left, cte +0.17 m, v 0.54 m/s, grade +5.9%
[INFO] [1790327403.567484990] [route_follower]: track: 627/972 m, 345 m left, cte -0.00 m, v 0.54 m/s, grade +4.1%
[INFO] [1790327408.568344693] [route_follower]: track: 629/972 m, 342 m left, cte +0.18 m, v 0.54 m/s, grade +4.1%
[INFO] [1790327413.569446099] [route_follower]: track: 632/972 m, 340 m left, cte +0.05 m, v 0.54 m/s, grade +4.1%
[INFO] [1790327418.568486133] [route_follower]: track: 635/972 m, 337 m left, cte +0.04 m, v 0.54 m/s, grade +5.4%
[INFO] [1790327423.568019740] [route_follower]: track: 637/972 m, 334 m left, cte +0.06 m, v 0.54 m/s, grade +5.4%
[INFO] [1790327428.568374441] [route_follower]: track: 640/972 m, 331 m left, cte +0.24 m, v 0.54 m/s, grade +6.6%
[INFO] [1790327433.567733562] [route_follower]: track: 643/972 m, 329 m left, cte +0.21 m, v 0.54 m/s, grade +6.6%
[INFO] [1790327438.568195663] [route_follower]: track: 645/972 m, 326 m left, cte +0.03 m, v 0.54 m/s, grade +6.4%
[INFO] [1790327443.567989486] [route_follower]: track: 648/972 m, 323 m left, cte +0.01 m, v 0.54 m/s, grade +5.7%
[INFO] [1790327448.569792972] [route_follower]: track: 651/972 m, 321 m left, cte +0.04 m, v 0.54 m/s, grade +5.7%
[INFO] [1790327453.568363560] [route_follower]: track: 653/972 m, 318 m left, cte -0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790327458.568649212] [route_follower]: track: 656/972 m, 315 m left, cte -0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790327463.569247127] [route_follower]: track: 659/972 m, 313 m left, cte -0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790327468.572391839] [route_follower]: track: 661/972 m, 310 m left, cte -0.06 m, v 0.54 m/s, grade +4.3%
[INFO] [1790327473.569567060] [route_follower]: track: 664/972 m, 307 m left, cte -0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790327478.567971007] [route_follower]: track: 667/972 m, 305 m left, cte -0.10 m, v 0.54 m/s, grade +3.2%
[INFO] [1790327483.569760628] [route_follower]: track: 669/972 m, 302 m left, cte -0.04 m, v 0.54 m/s, grade +3.2%
[INFO] [1790327488.569538020] [route_follower]: track: 672/972 m, 299 m left, cte -0.09 m, v 0.54 m/s, grade +4.3%
[INFO] [1790327493.568492796] [route_follower]: track: 675/972 m, 297 m left, cte -0.08 m, v 0.54 m/s, grade +4.3%
[INFO] [1790327498.569164328] [route_follower]: track: 677/972 m, 294 m left, cte -0.05 m, v 0.54 m/s, grade +4.3%
[INFO] [1790327503.567932836] [route_follower]: track: 680/972 m, 291 m left, cte -0.22 m, v 0.54 m/s, grade +4.0%
[INFO] [1790327508.569538032] [route_follower]: track: 683/972 m, 289 m left, cte -0.13 m, v 0.54 m/s, grade +4.1%
[INFO] [1790327513.570657751] [route_follower]: track: 685/972 m, 286 m left, cte -0.11 m, v 0.54 m/s, grade +4.1%
[INFO] [1790327518.568344438] [route_follower]: track: 688/972 m, 284 m left, cte -0.12 m, v 0.54 m/s, grade +3.7%
[INFO] [1790327523.573316313] [route_follower]: track: 691/972 m, 281 m left, cte -0.09 m, v 0.54 m/s, grade +3.7%
[INFO] [1790327528.572355887] [route_follower]: track: 693/972 m, 278 m left, cte -0.03 m, v 0.54 m/s, grade +3.7%
[INFO] [1790327533.573251107] [route_follower]: track: 696/972 m, 275 m left, cte -0.08 m, v 0.54 m/s, grade +3.7%
[INFO] [1790327538.573659198] [route_follower]: track: 699/972 m, 273 m left, cte -0.01 m, v 0.54 m/s, grade +4.4%
[INFO] [1790327543.572706526] [route_follower]: track: 702/972 m, 270 m left, cte -0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790327548.572817281] [route_follower]: track: 704/972 m, 267 m left, cte -0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790327553.572932805] [route_follower]: track: 707/972 m, 265 m left, cte -0.12 m, v 0.54 m/s, grade +4.5%
[INFO] [1790327558.577374339] [route_follower]: track: 710/972 m, 262 m left, cte -0.08 m, v 0.54 m/s, grade +4.4%
[INFO] [1790327563.578391266] [route_follower]: track: 712/972 m, 259 m left, cte -0.10 m, v 0.54 m/s, grade +4.4%
[INFO] [1790327568.578049105] [route_follower]: track: 715/972 m, 256 m left, cte -0.12 m, v 0.54 m/s, grade +3.8%
[INFO] [1790327573.576610145] [route_follower]: track: 718/972 m, 254 m left, cte -0.04 m, v 0.54 m/s, grade +4.0%
[INFO] [1790327578.578730003] [route_follower]: track: 720/972 m, 251 m left, cte -0.08 m, v 0.54 m/s, grade +4.0%
[INFO] [1790327583.578112478] [route_follower]: track: 723/972 m, 248 m left, cte -0.12 m, v 0.54 m/s, grade +4.2%
[INFO] [1790327588.578560543] [route_follower]: track: 726/972 m, 246 m left, cte -0.09 m, v 0.54 m/s, grade +4.2%
[INFO] [1790327593.577627438] [route_follower]: track: 729/972 m, 243 m left, cte -0.06 m, v 0.54 m/s, grade +4.2%
[INFO] [1790327598.578108694] [route_follower]: track: 731/972 m, 240 m left, cte -0.09 m, v 0.54 m/s, grade +4.2%
[INFO] [1790327603.578462103] [route_follower]: track: 734/972 m, 237 m left, cte -0.12 m, v 0.54 m/s, grade +4.2%
[INFO] [1790327608.576644786] [route_follower]: track: 737/972 m, 235 m left, cte -0.07 m, v 0.54 m/s, grade +4.2%
[INFO] [1790327613.578056020] [route_follower]: track: 740/972 m, 232 m left, cte -0.11 m, v 0.54 m/s, grade +4.1%
[INFO] [1790327618.577580450] [route_follower]: track: 742/972 m, 229 m left, cte -0.06 m, v 0.54 m/s, grade +4.1%
[INFO] [1790327623.577176563] [route_follower]: track: 745/972 m, 226 m left, cte -0.08 m, v 0.54 m/s, grade +4.2%
