[INFO] [1790328953.199185537] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790329189.015912501] [route_follower]: track: 689/972 m, 283 m left, cte -0.08 m, v 0.54 m/s, grade +3.7%
[INFO] [1790329194.018851278] [route_follower]: track: 692/972 m, 280 m left, cte -0.07 m, v 0.54 m/s, grade +3.7%
[INFO] [1790329199.017329424] [route_follower]: track: 694/972 m, 277 m left, cte -0.03 m, v 0.54 m/s, grade +3.7%
[INFO] [1790329204.017180313] [route_follower]: track: 697/972 m, 274 m left, cte -0.06 m, v 0.54 m/s, grade +4.4%
[INFO] [1790329209.016124950] [route_follower]: track: 700/972 m, 272 m left, cte -0.00 m, v 0.54 m/s, grade +4.4%
[INFO] [1790329214.018784305] [route_follower]: track: 703/972 m, 269 m left, cte -0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790329219.017522356] [route_follower]: track: 705/972 m, 266 m left, cte -0.08 m, v 0.54 m/s, grade +4.5%
[INFO] [1790329224.016575816] [route_follower]: track: 708/972 m, 263 m left, cte -0.12 m, v 0.54 m/s, grade +4.5%
[INFO] [1790329229.019074181] [route_follower]: track: 711/972 m, 261 m left, cte -0.09 m, v 0.54 m/s, grade +4.4%
[INFO] [1790329234.018094258] [route_follower]: track: 713/972 m, 258 m left, cte -0.06 m, v 0.54 m/s, grade +3.8%
[INFO] [1790329239.016813624] [route_follower]: track: 716/972 m, 255 m left, cte -0.10 m, v 0.54 m/s, grade +3.8%
[INFO] [1790329244.016648323] [route_follower]: track: 719/972 m, 253 m left, cte -0.06 m, v 0.54 m/s, grade +4.0%
[INFO] [1790329249.018250905] [route_follower]: track: 722/972 m, 250 m left, cte -0.06 m, v 0.54 m/s, grade +4.0%
[INFO] [1790329254.016555486] [route_follower]: track: 724/972 m, 247 m left, cte -0.07 m, v 0.54 m/s, grade +4.2%
[INFO] [1790329259.016590489] [route_follower]: track: 727/972 m, 245 m left, cte -0.09 m, v 0.54 m/s, grade +4.2%
[INFO] [1790329264.018130363] [route_follower]: track: 730/972 m, 242 m left, cte -0.08 m, v 0.54 m/s, grade +4.2%
[INFO] [1790329269.017490296] [route_follower]: track: 732/972 m, 239 m left, cte -0.10 m, v 0.54 m/s, grade +4.2%
